branch,count,mean,std,min,p25,median,p75,max
jet_pt,2619021,45.62160873413086,41.81903076171875,20.000009536743164,23.486434936523438,29.645925521850586,50.148441314697266,1578.7957763671875
jet_eta,2619021,0.01183369755744934,1.3353718519210815,-2.499937057495117,-1.0734037160873413,0.007569747511297464,1.101088285446167,2.4999799728393555
jet_phi,2619021,0.005185878369957209,1.812814712524414,-3.1415910720825195,-1.5628397464752197,0.005870722234249115,1.579041838645935,3.141592502593994
jet_e,2619021,96.70099639892578,109.3639144897461,20.056184768676758,37.34077072143555,64.2947998046875,115.36920166015625,4191.91650390625
largeRJet_pt,9573,362.95782470703125,127.86678314208984,250.00746154785156,278.36474609375,321.3628234863281,402.099853515625,1881.201171875
largeRJet_eta,9573,-0.008672624826431274,1.0112727880477905,-1.9997295141220093,-0.8085054755210876,-0.015362815000116825,0.782138466835022,1.9964498281478882
largeRJet_phi,9573,0.028564082458615303,1.8270456790924072,-3.1409473419189453,-1.5625464916229248,0.04187334328889847,1.6492825746536255,3.1409308910369873
largeRJet_e,9573,591.4362182617188,308.88482666015625,254.4439239501953,372.57672119140625,494.7676086425781,717.546142578125,3442.815185546875
largeRJet_m,9573,101.38739013671875,51.570560455322266,40.03173065185547,62.739105224609375,90.43647003173828,126.52940368652344,539.2164306640625
largeRJet_D2,9573,1.717534065246582,0.6989825963973999,0.1197904646396637,1.2245690822601318,1.5450080633163452,2.0678651332855225,7.1271538734436035
lep_pt,2138543,34.636444091796875,31.58733558654785,7.000005722045898,12.586162567138672,26.20556640625,45.25101089477539,1649.1029052734375
lep_eta,2138543,-0.0011673534754663706,1.3177554607391357,-2.4999823570251465,-1.1147273778915405,-0.007634519133716822,1.114497184753418,2.4999890327453613
lep_phi,2138543,0.011551918461918831,1.8143377304077148,-3.1415836811065674,-1.555793046951294,0.03193920478224754,1.577515959739685,3.1415913105010986
lep_e,2138543,70.86754608154297,78.89370727539062,7.003574371337891,24.971622467041016,46.35022735595703,86.74744415283203,4292.08447265625
lep_charge,2138543,0.000868348216519378,0.9999996229856165,-1.0,-1.0,1.0,1.0,1.0
lep_type,2138543,12.505294024950633,0.862947245403327,11.0,13.0,13.0,13.0,13.0
photon_pt,11629,59.11430358886719,48.72230911254883,25.00398063659668,31.116830825805664,41.81402587890625,66.59585571289062,676.1712646484375
photon_eta,11629,-0.010889853350818157,1.1584309339523315,-2.3699965476989746,-0.9053234457969666,-0.0009233902092091739,0.8809566497802734,2.368753671646118
photon_phi,11629,-0.024268243461847305,1.8197354078292847,-3.141230821609497,-1.6019471883773804,-0.03696027025580406,1.5701696872711182,3.1413509845733643
photon_e,11629,107.64053344726562,107.37482452392578,25.00458335876465,45.373409271240234,72.47268676757812,126.2338638305664,1743.8548583984375
tau_pt,231035,42.96383285522461,35.26332092285156,20.0,23.98265838623047,30.99334144592285,47.34846878051758,904.3998413085938
tau_eta,231035,-0.0036973629612475634,1.361748456954956,-2.4999470710754395,-1.057976245880127,-0.006237512920051813,1.0535533428192139,2.499689817428589
tau_phi,231035,-0.00692545622587204,1.813542127609253,-3.141523838043213,-1.5776628255844116,-0.01629498600959778,1.5664305686950684,3.1415677070617676
tau_e,231035,96.68341827392578,109.66223907470703,20.008350372314453,36.56770324707031,63.81332015991211,115.26354217529297,3643.583984375
tau_charge,231035,0.036449022591114044,0.999335527420044,-1.0,-1.0,1.0,1.0,1.0
tau_nTracks,231035,2.0749107278118033,0.9971902440651461,1.0,1.0,3.0,3.0,3.0
tau_RNNJetScore,231035,0.11126898974180222,0.21656139194965363,3.893605025950819e-06,0.0017472885083407164,0.01138270553201437,0.09023013710975647,0.9994454979896545
met,1015729,53.23907470703125,26.966449737548828,30.000003814697266,36.3272590637207,44.99378204345703,60.23594665527344,1635.0155029296875
met_phi,1015729,-0.014466213062405586,1.8165512084960938,-3.141566514968872,-1.5895060300827026,-0.024089626967906952,1.5588639974594116,3.141589403152466
met_mpx,1015729,-0.08255621790885925,42.204864501953125,-542.7655639648438,-30.794677734375,-0.16202734410762787,30.66368293762207,793.4810180664062
met_mpy,1015729,-0.39578962326049805,42.19211196899414,-1467.9169921875,-30.845027923583984,-0.5442587733268738,30.397008895874023,731.3551635742188
truth_jet_pt,0,,,,,,,
truth_jet_eta,0,,,,,,,
truth_jet_phi,0,,,,,,,
truth_jet_m,0,,,,,,,
truth_met,1015729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truth_met_phi,1015729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mcWeight,1015729,1.0,0.0,1.0,1.0,1.0,1.0,1.0
xsec,1015729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filteff,1015729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kfac,1015729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
