segment,start_idx,length,raw_std,white_rms,white_bp_rms,peak_freq,inst_freq_mean,inst_freq_std,inst_freq_median,phase_rms_p1,phase_std_p1,phase_rms_p2,phase_std_p2,phase_rms_p3,phase_std_p3,phase_rms_p4,phase_std_p4
1,6710886,131072,1.5382781323877082e-18,1.0,1.0,0.0,2.4856795078922556,80.59888246183642,9.435749964708197,5.833889435996599,5.8338894359966,5.831088458064882,5.831088458064882,5.481493662209547,5.481493662209548,5.476263547745314,5.476263547745314
2,33554432,131072,1.3272586137450074e-18,0.9999999999999999,0.9999999999999999,0.0,5.484596561571117,146.10443566332873,22.611234851715533,14.297707554868799,14.297707554868799,13.348751288511465,13.348751288511464,11.910305043686167,11.910305043686167,11.219577429151608,11.21957742915161
3,53687091,131072,1.3453337362310105e-18,1.0,1.0,0.0,11.242407766954765,198.98573804964911,32.919191813429734,48.06095988705441,48.06095988705441,47.79662254219801,47.79662254219801,23.933338257398702,23.933338257398702,23.410279133512816,23.410279133512816
