field,n_total,n_after,kde_peak_ellipticity,S_total,S_CI_16,S_CI_50,S_CI_84,S_DM,S_DE,R,flux_median,target_Tom,a_fit,b_fit,Tom_pred
field_1,100000,56176,0.21910955477738867,4.229027180238956,4.227218938913785,4.230819950703765,4.2777281426426095,4.285170185028806,4.261251938885101,1.0056129622201975,0.30798639357089996,-0.00042925603348728,-0.00021462421391222548,-0.0002134262395834321,-0.0004292551310998865
field_2,100000,56176,0.21910955477738867,4.229027180238956,4.226884936665472,4.2302341283015155,4.278408267249968,4.285170185028806,4.261251938885101,1.0056129622201975,0.30798639357089996,-0.00042925603348728,-0.00021462421391222548,-0.0002134262395834321,-0.0004292551310998865
